cultivar,price,note,id,url,image,hybridizer,year,color,parentage,ploidy,bloomseason,budcount,branches,form,bloomsize,bloomhabit,seedlingnum,foliagetype,scapeheight,fragrance,sculpting,rebloom
After the Riot,$40.00,,176298,https://www.daylilies.org/DaylilyDB/detail.php?id=176298,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/AFTER THE RIOT.jpg,Davisson-J.,2015,"gold, diamond dusted with serrated gold edge",(Little Big Ears × Sigourney),Tetraploid,"Early-Midseason,Rebloom",15,3,"","4 in, (10 cm)",Diurnal,LBESIG,Evergreen,"24 in, (61 cm)","",Cristate,""
Afternoon Truffle,$10.00,,147049,https://www.daylilies.org/DaylilyDB/detail.php?id=147049,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Afternoon_Truffle.jpg,Kirchhoff-D.,2002,pastel pewter orchid with pewter edge above yellow to green throat,(Don't Look Back × sdlg),Tetraploid,"Early,Rebloom",24,3,Double 99%,"5.5 in, (14 cm)",Extended,"",Evergreen,"26 in, (66 cm)","","",""
Agent of Change,"",,187029,https://www.daylilies.org/DaylilyDB/detail.php?id=187029,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/AgentofChange_1535763945.jpg,Salter-E.H.,2018,Pale ivory cream to white with a large violet blue eye surrounded by a deeper etched eye.,(unknown × unknown),Diploid,"Midseason,Rebloom","","","","4.75 in, (12 cm)",Diurnal,ES1802,Semi-Evergreen,"30 in, (76 cm)","","",""
Airy Delight,$20.00,,152219,https://www.daylilies.org/DaylilyDB/detail.php?id=152219,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Airy_Delight_2005.jpg,Joiner-J.,2005,crabapple sprinkled yellow bitone above light green throat,(sdlg × sdlg),Diploid,"Midseason,Rebloom",28,5,Unusual FormCrispateDouble 95%,"9 in, (23 cm)",Diurnal,JOO-DD-JJ-JJ-62,Dormant,"28 in, (71 cm)","","",""
Aldersgate,$15.00,,151550,https://www.daylilies.org/DaylilyDB/detail.php?id=151550,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Aldersgate from Byerley_1504131694.JPG,Temple,2005,maroon green with maroon pink eye above green throat,(((Rainbow Spangles × Lois Burns) × Garden Portrait) × Emmaus),Diploid,"Midseason,Rebloom",22,3,Spider 8.00:1,"16 in, (41 cm)",Diurnal,TDSRSLBE-1-04,Evergreen,"34 in, (86 cm)","","",""
Alexander'S Ragtime Band,"",,139,https://www.daylilies.org/DaylilyDB/detail.php?id=139,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Alexanders_Ragtime_Band.jpg,Kirchhoff-D.,1998,"yellow, melon, and pink blend with yellow to green throat",(sdlg ×  (Layers of Gold × Ruffled Dude)),Tetraploid,"Early-Midseason,Rebloom",30,4,Double 96%,"6.5 in, (17 cm)",Extended,"",Evergreen,"30 in, (76 cm)",Fragrant,"",""
Alien Landing,"",,157754,https://www.daylilies.org/DaylilyDB/detail.php?id=157754,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Alien_Landing.jpg,Hansen-D.,2007,lilac yellow lavender bitone above yellow throat,(Judge Nancy × Space Jam),Tetraploid,"Midseason-Late,Rebloom",21,5,Unusual FormCascade,"9 in, (23 cm)","",JN2P5,Semi-Evergreen,"35 in, (89 cm)","","",""
All About Eve,$12.00,,162,https://www.daylilies.org/DaylilyDB/detail.php?id=162,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/ALL_ABOUT_Eve.jpg,Kirchhoff-D.,2000,peach pink with rose watermark halo above yellow to green throat,(sdlg × Tet. Siloam Double Classic),Tetraploid,"Early-Midseason,Rebloom",30,4,Double 100%,"5 in, (13 cm)",Extended,DK5900-1,Evergreen,"26 in, (66 cm)",Very Fragrant,"",""
All American Chief,"",,167,https://www.daylilies.org/DaylilyDB/detail.php?id=167,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/All_American_Chief.jpg,Sellers,1994,red self with yellow throat,"",Tetraploid,"Early-Midseason,Rebloom","","","","9 in, (23 cm)",Diurnal,9345,Dormant,"32 in, (81 cm)","","",""
All Branched Out,$10.00,,158365,https://www.daylilies.org/DaylilyDB/detail.php?id=158365,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/all_branched_out.jpg,Eller-N.,2007,red with prominent veining and cream edge above yellow green throat,(Night Embers × sdlg),Tetraploid,"Early,Rebloom",30,5,Double 90%,"5.5 in, (14 cm)",Diurnal,NE0010,Semi-Evergreen,"34 in, (86 cm)","","",""
All I want for Christmas,"",,160884,https://www.daylilies.org/DaylilyDB/detail.php?id=160884,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/All I Want For Christmas.jpg,Wilkerson,2010,bright red with green throat,((Cameroons × Valley Monster) × (Cameroons Twister × Waiting in the Wings)),Tetraploid,"Early-Midseason,Rebloom",28,4,Unusual FormCascade,"9.5 in, (24 cm)",Diurnal,50711,Evergreen,"34 in, (86 cm)","","",""
All The Day Long,"",,183009,https://www.daylilies.org/DaylilyDB/detail.php?id=183009,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/all the day long.jpg,Bell-T.,2017,"pale cream, peach pink blend with three quarter to one inch ruffle",(National Treasure × Judy Farquhar),Tetraploid,"Midseason,Rebloom",28,5,"","7 in, (18 cm)",Diurnal,1-06xJudyF.,Evergreen,"32 in, (81 cm)",Fragrant,"",""
Almond Puff,$10.00,,12446,https://www.daylilies.org/DaylilyDB/detail.php?id=12446,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Almond_Puff.jpg,Stamile,1990,beige self with green throat,(Salt Lake City × Barbara Mitchell),Diploid,Midseason,"","",Double,"6.5 in, (17 cm)",Extended,D834-B,Dormant,"23 in, (58 cm)",Fragrant,"",""
Almost A Rainbow,$10.00,,157185,https://www.daylilies.org/DaylilyDB/detail.php?id=157185,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Almost_a_Rainbow.jpg,Anderson-H.,2007,paul mauve wine bicolor with dark red band and flesh edge above green throat,(unknown × unknown),Diploid,"Early-Midseason,Rebloom",25,3,"","3.5 in, (9 cm)",Diurnal,7D23,Evergreen,"34 in, (86 cm)",Fragrant,"",""
Alpine Ruffles,"",,156784,https://www.daylilies.org/DaylilyDB/detail.php?id=156784,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Alpine_Ruffles.jpg,Stamile,2007,white ruffled self above green throat,((Victorian Lace × Michael Miller) × Spectral Elegance),Tetraploid,Midseason,45,7,"","5.5 in, (14 cm)",Diurnal,319-D,Evergreen,"26 in, (66 cm)","","",""
Altered State,$10.00,,233,https://www.daylilies.org/DaylilyDB/detail.php?id=233,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Altered_State.jpg,Carr,1997,cherry red with a darker cherry red eyezone and pink red border above a yellow to green throat,(Whooperee × Purely Exotic),Tetraploid,"Early-Midseason,Rebloom","","","","5.5 in, (14 cm)",Extended,94x,Evergreen,"28 in, (71 cm)","","",""
Alvatine Taylor,$6.00,,12488,https://www.daylilies.org/DaylilyDB/detail.php?id=12488,https://www.daylilies.org/DaylilyDB/None,Munson-R.W.,1982,ivory pink beige with cream yellow throat,(Silver Potentate × sdlg),Tetraploid,"Early-Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,SPRBAE-3,Evergreen,"30 in, (76 cm)",Fragrant,"",""
Always Afternoon,$6.00,,12495,https://www.daylilies.org/DaylilyDB/detail.php?id=12495,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Always_Afternoonkpw.jpg,Morss,1987,medium mauve edged buff with purple eyezone and green throat,((Ring of Change × Tiffany Palace) × Opus One),Tetraploid,"Early,Rebloom","","","","5.5 in, (14 cm)",Extended,OOROCTF,Semi-Evergreen,"22 in, (56 cm)","","",""
Amanda'S Little Red Shoes,"",,150757,https://www.daylilies.org/DaylilyDB/detail.php?id=150757,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Amanda's_Little_Red_Shoes.jpg,Eller-N.,2004,rose red with white edge above yellow throat,(Stellar Double Rose × Reba My Love),Diploid,"Early,Rebloom",20,3,Double 98%,"6 in, (15 cm)",Diurnal,NE0020,Semi-Evergreen,"24 in, (61 cm)",Fragrant,"",""
American Freedom,$10.00,,148464,https://www.daylilies.org/DaylilyDB/detail.php?id=148464,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/american_freedom.jpg,Grace-Smith,2003,vibrant orange peach blend with gold edge,(Tet. Ultimate Perfection × J.T. Davis),Tetraploid,"Early,Rebloom",36,6,"","5.5 in, (14 cm)",Diurnal,SS699,Semi-Evergreen,"28 in, (71 cm)","","",""
Amethyst Cream Truffle,$10.00,,141660,https://www.daylilies.org/DaylilyDB/detail.php?id=141660,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/amethyst_cream_truffle.jpg,Kirchhoff-D.,2002,grayed orchid amethyst bitone with watermark halo and yellow edge above yellow to green throat,(((Ring of Change × Tiffany Palace) × Enchanting Lady) × (sdlg × Victoria's Secret)),Tetraploid,"Early,Rebloom",35,4,Double 93%,"5.5 in, (14 cm)",Extended,DK81700-01,Evergreen,"30 in, (76 cm)","","",""
Amethyst Island,$15.00,,158001,https://www.daylilies.org/DaylilyDB/detail.php?id=158001,https://www.daylilies.org/DaylilyDB/None,Townsend-Traxler,2007,light pink with purple eye and double purple gold edge above green throat,((Billy Stennett × Clothed in Glory) × Raspberry Masquerade),Tetraploid,"Early-Midseason,Rebloom",18,4,"","6 in, (15 cm)",Diurnal,BS992XRAMAR,Semi-Evergreen,"28 in, (71 cm)","","",""
Amethyst Prism,$40.00,,174500,https://www.daylilies.org/DaylilyDB/detail.php?id=174500,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/amethystPrism.jpg,Pierce-G.,2013,"violet, purple, green appliqué",(((sdlg × Tet. Terry Lyninger) × Tet. Malachite Prism) × Tet. Time Stopper),Tetraploid,"Extra Early,Rebloom",40,6,"","9.5 in, (24 cm)",Diurnal,277-E,Semi-Evergreen,"37 in, (94 cm)",Fragrant,"",""
Amish Expressions,"",,171934,https://www.daylilies.org/DaylilyDB/detail.php?id=171934,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Amish Expressions.jpg,Salter,2013,"large cream yellow with a large bold black eye and edge, black edge has tiny teeth and serrations, small yellow to green throat",(unknown × unknown),Tetraploid,"Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,JS1302,Semi-Evergreen,"29 in, (74 cm)","","",""
Amy Michelle,$10.00,,285,https://www.daylilies.org/DaylilyDB/detail.php?id=285,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Amy_Michelle.jpg,Brown-C.,1991,lavender pink blend with green throat,"",Diploid,Early-Midseason,"","",Double,"4.25 in, (11 cm)",Diurnal,"",Semi-Evergreen,"28 in, (71 cm)",Fragrant,"",""
Ancient Magic,"",,183016,https://www.daylilies.org/DaylilyDB/detail.php?id=183016,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Ancient Magic.jpg,Salter,2017,"smooth, bright yellow gold with a heavily ruffled edge, heavy, waxy substance",(unknown × unknown),Tetraploid,"Midseason-Late,Rebloom","","","","6 in, (15 cm)",Diurnal,JS17-01,Evergreen,"28 in, (71 cm)","","",""
Ancient Whispers,$20.00,,166893,https://www.daylilies.org/DaylilyDB/detail.php?id=166893,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Ancient Whispers.jpg,Salter,2010,"bright orange with a large black plum eye and edge, very round, full, overlapped and recurved, above a bright yellow green throat",(unknown × unknown),Tetraploid,"Midseason,Rebloom","","","","5.5 in, (14 cm)","","",Semi-Evergreen,"31 in, (79 cm)","","",""
Angel Bay,"",,175433,https://www.daylilies.org/DaylilyDB/detail.php?id=175433,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Angel Bay.jpg,Salter,2014,"pale ivory cream to white with a fringy, toothy yellow edge",((Chorus of Angels × (Winter's Crown × Fantastic Fringe)) × Arts and Crafts),Tetraploid,"Early-Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,JS-14S-01,Semi-Evergreen,"32 in, (81 cm)","","",""
Angel Cups,"",,302,https://www.daylilies.org/DaylilyDB/detail.php?id=302,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Angel Cups  Joiner Slide (2)_1519871723.jpg,Joiner-J.,1996,ivory self with yellow green throat,"",Diploid,"Midseason-Late,Rebloom","","",Double,"6 in, (15 cm)",Diurnal,92-DD-JJ-FJ-JJ-10,Dormant,"30 in, (76 cm)",Fragrant,"",""
Angel In Oz,"",,159350,https://www.daylilies.org/DaylilyDB/detail.php?id=159350,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/ANGEL_IN_OZ.jpg,Herrington-K.,2008,burgundy red self above huge green throat,(Star Over Oz × Magic of Oz),Diploid,"Midseason,Rebloom",25,5,Unusual FormCascade,"7 in, (18 cm)",Diurnal,"",Dormant,"33 in, (84 cm)",Fragrant,"",""
Ann Gehry,$8.00,,12806,https://www.daylilies.org/DaylilyDB/detail.php?id=12806,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Ann Gehry.jpg,Kirchhoff-D.,1989,coral rose edged gold with yellow halo and green throat,(Malaysian Spice × Cee Tee),Tetraploid,"Early-Midseason,Rebloom","","","","6.5 in, (17 cm)",Extended,CTMASP-3-86,Evergreen,"24 in, (61 cm)","","",""
Anna Marie Concerto,$10.00,,346,https://www.daylilies.org/DaylilyDB/detail.php?id=346,https://www.daylilies.org/DaylilyDB/None,Munson-R.W.,1995,peach and melon cream blend with narrow light russet eyezone above a gold green throat,((Kecia × Judy Koltz) × Bookmark),Tetraploid,"Early-Midseason,Rebloom","","","","7 in, (18 cm)",Diurnal,"",Evergreen,"30 in, (76 cm)",Fragrant,"",""
Anne Boleyn,"",,176323,https://www.daylilies.org/DaylilyDB/detail.php?id=176323,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Anne Boleyn.jpg,Ridder,2014,blood red with a white edge,(Velvet Throne × Pink Lemonade Afternoon),Tetraploid,"Early-Midseason,Rebloom",26,3,Double 100%,"7 in, (18 cm)",Diurnal,RID1765,Semi-Evergreen,"28 in, (71 cm)",Fragrant,"",""
Apache Beacon,$10.00,,141310,https://www.daylilies.org/DaylilyDB/detail.php?id=141310,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Apache Beacon revised.jpg,Roberts-N.,2005,red rose with red eye above yellow green throat,"",Diploid,"Midseason,Rebloom",40,4,Unusual FormCrispate,"6.5 in, (17 cm)",Nocturnal,2001-120,Semi-Evergreen,"36 in, (91 cm)","","",""
Apache Junction,"",,178055,https://www.daylilies.org/DaylilyDB/detail.php?id=178055,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Apache Junction.jpg,Salter,2015,"bright yellow gold with a bold dark red eye and dark red edge, dark green heart, substance is heavy and holds well in full sun",(unknown × unknown),Tetraploid,"Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,JS-15-1,Semi-Evergreen,"28 in, (71 cm)","","",""
Apollodorus,$8.00,,12953,https://www.daylilies.org/DaylilyDB/detail.php?id=12953,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Apollodorus.jpg,Munson-R.W.,1984,violet purple self with cream yellow throat,"",Tetraploid,"Midseason-Late,Rebloom","","","","4.5 in, (11 cm)",Diurnal,"",Evergreen,"28 in, (71 cm)","","",""
Apopka Pink Pearl,"",,159777,https://www.daylilies.org/DaylilyDB/detail.php?id=159777,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Apopka_Pink_Pearl.jpg,Harry,2008,true ice pink with gold edge above nice green throat,(unknown × unknown),Tetraploid,"Early-Midseason,Rebloom",25,5,"","6.5 in, (17 cm)",Diurnal,NH04-199,Semi-Evergreen,"30 in, (76 cm)","","",""
Appliqué,$10.00,,145706,https://www.daylilies.org/DaylilyDB/detail.php?id=145706,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/applique.jpg,Stamile,2002,mauve lavender with yellow watermark and appliquéd throat,((Star of India × Boney Maroney) × Web Browser),Tetraploid,"Early-Midseason,Rebloom",30,5,Unusual FormCrispate,"10 in, (25 cm)",Diurnal,066-A,Evergreen,"30 in, (76 cm)","","",""
Appliqué Prism,"",,174498,https://www.daylilies.org/DaylilyDB/detail.php?id=174498,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Applique Prism.jpg,Pierce-G.,2013,cherry with light green appliqué,(((sdlg × Tet. Terry Lyninger) × Tet. Malachite Prism) × Tet. Time Stopper),Tetraploid,"Extra Early,Rebloom",50,8,"","9 in, (23 cm)",Diurnal,277-D,Semi-Evergreen,"31 in, (79 cm)",Fragrant,"",""
Apricot Potpourri,"",,170359,https://www.daylilies.org/DaylilyDB/detail.php?id=170359,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Apricot Potpourri.jpg,Nall-S.,2012,"intense orange peach, lightly ruffled, lighter midrib",(King Kahuna × Peach Magnolia),Diploid,"Midseason-Late,Rebloom",24,5,Double 99%,"5.5 in, (14 cm)",Diurnal,A160D,Semi-Evergreen,"32 in, (81 cm)","","",""
April Laquinta,$15.00,,152971,https://www.daylilies.org/DaylilyDB/detail.php?id=152971,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/April_LaQuinta.jpg,Petit,2006,pink with gold edge above green throat,((Glacier Bay × Tet. Siloam Ralph Henry) × Belle Cook),Tetraploid,"Midseason,Rebloom","","","","7 in, (18 cm)",Diurnal,S-07-01,Semi-Evergreen,"30 in, (76 cm)",Fragrant,"",""
Aral Sea,$10.00,,157029,https://www.daylilies.org/DaylilyDB/detail.php?id=157029,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Aral_Sea.jpg,Petit,2008,lavender pink with violet eye and edge above green throat,((Susie Tee × Reflections In Water) × (Sailing At Dawn × Send Me A Rainbow)),Tetraploid,"Midseason,Rebloom","","","","5 in, (13 cm)",Diurnal,F-07-09,Semi-Evergreen,"23 in, (58 cm)",Fragrant,"",""
Arcane Pattern,"",,181653,https://www.daylilies.org/DaylilyDB/detail.php?id=181653,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/arcanepattern.jpg,Salter-E.H.,2016,"pale icy lavender with a very precise violet blue eye pattern around a green heart, very round form, full and overlapped",(unknown × unknown),Tetraploid,"Midseason,Rebloom",20,4,"","3.75 in, (10 cm)",Diurnal,ES0116,Evergreen,"30 in, (76 cm)","","",""
Arms Reaching Out,$12.00,,150756,https://www.daylilies.org/DaylilyDB/detail.php?id=150756,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Arms_Reaching_Out.jpg,Eller-N.,2004,soft yellow with rose red eye above yellow throat,(Big Kiss × Sanford Show Girl),Diploid,"Early-Midseason,Rebloom",18,3,Double 95%,"5.5 in, (14 cm)",Diurnal,NE0011,Evergreen,"24 in, (61 cm)",Fragrant,"",""
Arms To Heaven,$8.00,,143632,https://www.daylilies.org/DaylilyDB/detail.php?id=143632,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Arms_to_Heaven.jpg,Roberts-N.,2001,purple red self above yellow green throat,"",Diploid,"Midseason,Rebloom",18,3,Unusual FormCrispate,"8 in, (20 cm)",Nocturnal,98-461,Semi-Evergreen,"36 in, (91 cm)","","",""
Artemio,$8.00,,143570,https://www.daylilies.org/DaylilyDB/detail.php?id=143570,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Artemio.jpg,Bomar,2002,rose pink blend with rose halo above yellow to green throat,(unknown × unknown),Diploid,"Early,Rebloom",20,4,"","6.5 in, (17 cm)",Diurnal,B-94-961,Dormant,"18 in, (46 cm)",Fragrant,"",""
Ashton'S Giggles,"",,153832,https://www.daylilies.org/DaylilyDB/detail.php?id=153832,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Ashtons_Giggles.jpg,Phelps,2006,cream with huge violet eye and violet silver braided edge above green extending to yellow throat,((Destined to See × sdlg) × Awesome Blossom),Tetraploid,"Early,Rebloom",20,3,"","6 in, (15 cm)",Diurnal,SL4-2001,Semi-Evergreen,"26 in, (66 cm)","","",""
Audrey Hepburn,$15.00,,150942,https://www.daylilies.org/DaylilyDB/detail.php?id=150942,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Audrey_Hepburn.jpg,Kirchhoff-D.,2004,pastel orchid pink blend with yellow halo and white gold edge above green throat,(((sdlg × Virginia Franklin Miller) × (Jerry Pate Williams × sdlg)) × Norma Desmond),Tetraploid,"Early-Midseason,Rebloom",30,3,Double 99%,"6.5 in, (17 cm)",Extended,"",Evergreen,"30 in, (76 cm)",Very Fragrant,"",""
Aunt Leona,$12.00,,154755,https://www.daylilies.org/DaylilyDB/detail.php?id=154755,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/aunt_leona.jpg,Smith-FR,2006,soft pastel coral self with ruffled edge,(Spanish Wedding Gown × Portofino),Tetraploid,"Midseason,Rebloom",30,4,"","6.5 in, (17 cm)",Extended,"",Semi-Evergreen,"28 in, (71 cm)","","",""
Autumn Concerto,"",,164205,https://www.daylilies.org/DaylilyDB/detail.php?id=164205,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Autumn_Concerto_1274466022_Autumn+Concerto.JPG,Stamile-Pierce,2010,"clear shades of brown, sienna and paprika, purple black eye and edge",(New Paradigm × Walter Kennedy),Tetraploid,"Early-Midseason,Rebloom",35,5,Unusual FormCrispate,"6.5 in, (17 cm)",Diurnal,8116A,Evergreen,"40 in, (102 cm)",Fragrant,"",""
Autumn Sojourn,$15.00,,153311,https://www.daylilies.org/DaylilyDB/detail.php?id=153311,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Autumn_Sojourn.jpg,Salter,2005,orange cream blend above olive throat,"",Tetraploid,"Early-Midseason,Rebloom",30,4,"","6.5 in, (17 cm)",Diurnal,"",Semi-Evergreen,"29 in, (74 cm)",Fragrant,"",""
Autumn Valentine,$8.00,,552,https://www.daylilies.org/DaylilyDB/detail.php?id=552,https://www.daylilies.org/DaylilyDB/None,Kirchhoff-D.,1991,cardinal red self edged gold with yellow chartreuse throat,(sdlg × Richard Connelley),Tetraploid,"Late,Rebloom","","","","6 in, (15 cm)",Diurnal,BER-1,Evergreen,"28 in, (71 cm)","","",""
Avante Garde,$8.00,,13512,https://www.daylilies.org/DaylilyDB/detail.php?id=13512,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/AVANTE GARDE.jpg,Moldovan,1986,amber tan bitone with red orange eyezone and yellow green throat,(House of Lords × Pirates Cove),Tetraploid,Early-Midseason,"","","","5.5 in, (14 cm)",Extended,85-31,Dormant,"26 in, (66 cm)","","",""
Awash With Color,$8.00,,561,https://www.daylilies.org/DaylilyDB/detail.php?id=561,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Awash_With_Color.jpg,Stamile,1994,rose pink blend with green throat,(Trudy Harris × Silken Touch),Tetraploid,"Early-Midseason,Rebloom","","","","5.75 in, (15 cm)",Extended,T-2127,Evergreen,"32 in, (81 cm)",Very Fragrant,"",""
Awesome Blossom,$8.00,,565,https://www.daylilies.org/DaylilyDB/detail.php?id=565,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/AWESOME BLOSSOM.jpg,Salter,1996,antique rose with raisin plum eyezone and yellow to green throat,"",Tetraploid,"Early-Midseason,Rebloom","","","","5 in, (13 cm)",Diurnal,"",Evergreen,"24 in, (61 cm)","","",""
